model,precision,recall,f1_score,auc_roc,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,0.9859,0.9902,0.988,0.9987,5788,91,63,6361
Random Forest,0.9869,0.9872,0.9871,0.9983,5795,84,82,6342
